縣市名稱,鄉鎮市區名稱,村里名稱,鄉鎮市區代碼,村里代碼,人口數,面積,人口密度
宜蘭縣,三星鄉,人和村,10002100,005,542,5301997.8589,1.0222561653626
宜蘭縣,三星鄉,大洲村,10002100,017,1762,3562642.0663,4.9457676836728
宜蘭縣,三星鄉,大義村,10002100,015,1315,3841685.2576,3.4229769276349
宜蘭縣,三星鄉,大隱村,10002100,010,4328,10631693.1857,4.0708473470823
宜蘭縣,三星鄉,天山村,10002100,002,642,6251775.7449,1.02690823567
宜蘭縣,三星鄉,天福村,10002100,003,858,4857661.5541,1.7662819660127
宜蘭縣,三星鄉,月眉村,10002100,008,1072,943922.6061,11.356863296549
宜蘭縣,三星鄉,行健村,10002100,011,900,3051897.2136,2.948985293441
宜蘭縣,三星鄉,尾塹村,10002100,018,1574,3612355.4927,4.3572677251195
宜蘭縣,三星鄉,尚武村,10002100,016,867,4205177.2234,2.0617442593751
宜蘭縣,三星鄉,拱照村,10002100,009,1480,9662254.0615,1.5317336830307
宜蘭縣,三星鄉,員山村,10002100,001,239,10051973.8973,0.23776424654684
宜蘭縣,三星鄉,貴林村,10002100,013,570,7314301.1873,0.779295226439
宜蘭縣,三星鄉,集慶村,10002100,007,1399,4826504.9715,2.8985777664396
宜蘭縣,三星鄉,萬富村,10002100,014,826,3116620.2704,2.6503068334789
宜蘭縣,三星鄉,萬德村,10002100,012,674,2243472.6138,3.0042711279563
宜蘭縣,三星鄉,義德村,10002100,006,1394,2331087.4816,5.9800415514359
宜蘭縣,三星鄉,雙賢村,10002100,004,704,2324915.7228,3.0280667513924
宜蘭縣,大同鄉,太平村,10002110,007,81,183302983.588,0.0044189133430615
宜蘭縣,大同鄉,四季村,10002110,008,993,90917334.3983,0.10922009609848
宜蘭縣,大同鄉,松羅村,10002110,003,825,39378234.0264,0.20950660190777
宜蘭縣,大同鄉,南山村,10002110,009,838,98245050.8403,0.085296917537576
宜蘭縣,大同鄉,茂安村,10002110,010,213,58303297.9273,0.03653309633798
宜蘭縣,大同鄉,英士村,10002110,005,421,79178343.6163,0.053171104720272
宜蘭縣,大同鄉,崙埤村,10002110,002,716,27140344.3066,0.26381389709411
宜蘭縣,大同鄉,寒溪村,10002110,001,1076,116261713.615,0.092549814254688
宜蘭縣,大同鄉,復興村,10002110,004,335,32665827.3753,0.10255365527747
宜蘭縣,大同鄉,樂水村,10002110,006,471,40026357.4575,0.11767246132754
宜蘭縣,五結鄉,二結村,10002090,002,2013,540203.1926,37.263756075032
宜蘭縣,五結鄉,三興村,10002090,001,2228,2671089.3688,8.3411660651435
宜蘭縣,五結鄉,上四村,10002090,004,1735,694523.5754,24.981153433139
宜蘭縣,五結鄉,大吉村,10002090,009,4026,4045701.6771,9.9513022000324
宜蘭縣,五結鄉,中興村,10002090,005,1506,1411278.4836,10.67117523225
宜蘭縣,五結鄉,五結村,10002090,008,3997,1628582.2862,24.542818830028
宜蘭縣,五結鄉,四結村,10002090,006,2661,637544.8414,41.738240625658
宜蘭縣,五結鄉,成興村,10002090,014,3405,4302227.2704,7.9145051760211
宜蘭縣,五結鄉,利澤村,10002090,013,2460,2269778.6077,10.838061437599
宜蘭縣,五結鄉,孝威村,10002090,011,1706,2678301.8436,6.3697077462595
宜蘭縣,五結鄉,協和村,10002090,010,3536,3781386.5261,9.3510673283297
宜蘭縣,五結鄉,季新村,10002090,015,3302,4109822.572,8.0344101044564
宜蘭縣,五結鄉,福興村,10002090,007,2007,1880792.9915,10.671030831518
宜蘭縣,五結鄉,錦眾村,10002090,012,1757,6526053.0546,2.6922858047584
宜蘭縣,五結鄉,鎮安村,10002090,003,2819,2795534.4426,10.083939432269
宜蘭縣,冬山鄉,八寶村,10002080,012,1018,2188379.4463,4.6518440927655
