縣市名稱,鄉鎮市區名稱,村里名稱,鄉鎮市區代碼,村里代碼,人口數,面積,人口密度
新北市,板橋區,鄉雲里,65000010,077,3743,211658.8429,176.84118219282
新北市,板橋區,廣德里,65000010,078,6985,147658.1434,473.05213509816
新北市,板橋區,大豐里,65000010,079,5042,94546.5586,533.28223413517
新北市,板橋區,重慶里,65000010,080,9459,238076.861,397.3086657926
新北市,板橋區,仁愛里,65000010,081,3389,90732.594,373.51516699721
新北市,板橋區,和平里,65000010,082,3750,64266.0568,583.5117613751
新北市,板橋區,廣福里,65000010,083,4502,263916.0139,170.58457095771
新北市,板橋區,華興里,65000010,084,4345,69192.8957,627.95464130286
新北市,板橋區,華貴里,65000010,085,2938,57293.0844,512.80185571577
新北市,板橋區,華德里,65000010,086,7406,130327.9656,568.25869765591
新北市,板橋區,華東里,65000010,087,6912,766146.3952,90.217744850129
新北市,板橋區,信義里,65000010,088,4518,80069.6332,564.25886062383
新北市,板橋區,浮洲里,65000010,089,4364,677344.248,64.428095652774
新北市,板橋區,華中里,65000010,090,5677,790108.9014,71.850854862423
新北市,板橋區,僑中里,65000010,091,4320,75484.8918,572.29995261118
新北市,板橋區,中山里,65000010,092,3910,391916.8193,99.76606788613
新北市,板橋區,復興里,65000010,093,1420,108628.991,130.72016843091
新北市,板橋區,大安里,65000010,094,4476,95786.3388,467.29001818785
新北市,板橋區,福安里,65000010,095,2783,455030.8937,61.160682462031
新北市,板橋區,聚安里,65000010,096,5762,286899.247,200.83705552563
新北市,板橋區,龍安里,65000010,097,3082,219768.3489,140.23857463671
新北市,板橋區,崑崙里,65000010,098,10498,273188.6495,384.27658027571
新北市,板橋區,溪洲里,65000010,099,6474,140000.3333,462.42747052089
新北市,板橋區,溪北里,65000010,100,3783,123331.0524,306.73540251084
新北市,板橋區,香雅里,65000010,101,2758,113108.2383,243.83723426802
新北市,板橋區,新生里,65000010,102,4463,55354.0441,806.26448754807
新北市,板橋區,文德里,65000010,103,3309,57465.2291,575.8264696451
新北市,板橋區,文化里,65000010,104,3356,121906.6196,275.29267984066
新北市,板橋區,新海里,65000010,105,3920,171211.6617,228.95636670291
新北市,板橋區,莒光里,65000010,106,3181,85005.4997,374.21108178016
新北市,板橋區,富貴里,65000010,107,2368,56332.21,420.36341198046
新北市,板橋區,正泰里,65000010,108,3285,39403.1974,833.68868943615
新北市,板橋區,民生里,65000010,109,2414,39360.1276,613.31101985554
新北市,板橋區,後埔里,65000010,110,4002,60052.1824,666.42040972686
新北市,板橋區,華福里,65000010,111,2307,42833.6243,538.59556311232
新北市,板橋區,堂春里,65000010,112,4675,368830.8671,126.75186425578
新北市,板橋區,成和里,65000010,113,6373,712351.1182,89.464308220693
新北市,板橋區,光榮里,65000010,114,2740,46356.1766,591.07549434955
