COUNTY_ID,COUNTY_ID_NM,TOWN_ID,TOWN_ID_NM,V_ID,V_ID_NM,fld0101,fld0201,fld0301,fld0401
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數
"65000","新北市","65000010","板橋區","65000010-001","留侯里",671,1707,828,879
"65000","新北市","65000010","板橋區","65000010-002","流芳里",636,1583,743,840
"65000","新北市","65000010","板橋區","65000010-003","赤松里",314,848,424,424
"65000","新北市","65000010","板橋區","65000010-004","黃石里",473,1301,641,660
"65000","新北市","65000010","板橋區","65000010-005","挹秀里",754,1922,938,984
"65000","新北市","65000010","板橋區","65000010-006","湳興里",2260,5711,2798,2913
"65000","新北市","65000010","板橋區","65000010-007","新興里",1431,3339,1616,1723
"65000","新北市","65000010","板橋區","65000010-008","社後里",4384,8805,4892,3913
"65000","新北市","65000010","板橋區","65000010-009","香社里",1588,4604,2311,2293
"65000","新北市","65000010","板橋區","65000010-010","中正里",1636,4737,2390,2347
"65000","新北市","65000010","板橋區","65000010-011","自強里",2023,5420,2676,2744
"65000","新北市","65000010","板橋區","65000010-012","自立里",1084,3003,1465,1538
"65000","新北市","65000010","板橋區","65000010-013","光華里",1096,2879,1440,1439
"65000","新北市","65000010","板橋區","65000010-014","國光里",1562,3940,1950,1990
"65000","新北市","65000010","板橋區","65000010-015","港尾里",1067,3012,1434,1578
"65000","新北市","65000010","板橋區","65000010-016","金華里",1456,4223,2093,2130
"65000","新北市","65000010","板橋區","65000010-017","港德里",1888,5176,2550,2626
"65000","新北市","65000010","板橋區","65000010-018","民權里",1081,2866,1415,1451
"65000","新北市","65000010","板橋區","65000010-019","建國里",1422,3880,1914,1966
"65000","新北市","65000010","板橋區","65000010-020","漢生里",1749,4800,2339,2461
"65000","新北市","65000010","板橋區","65000010-021","公�F里",1474,4219,2080,2139
"65000","新北市","65000010","板橋區","65000010-022","新民里",1770,4817,2371,2446
"65000","新北市","65000010","板橋區","65000010-023","幸福里",1524,4384,2191,2193
"65000","新北市","65000010","板橋區","65000010-024","忠誠里",1620,4170,2021,2149
"65000","新北市","65000010","板橋區","65000010-025","百壽里",975,2678,1278,1400
"65000","新北市","65000010","板橋區","65000010-026","介壽里",1212,3354,1596,1758
"65000","新北市","65000010","板橋區","65000010-027","新埔里",875,2312,1132,1180
"65000","新北市","65000010","板橋區","65000010-028","華江里",2889,7298,3423,3875
"65000","新北市","65000010","板橋區","65000010-029","江翠里",1833,5229,2587,2642
"65000","新北市","65000010","板橋區","65000010-030","純翠里",2060,5738,2814,2924
"65000","新北市","65000010","板橋區","65000010-031","溪頭里",2387,6404,3175,3229
"65000","新北市","65000010","板橋區","65000010-032","聯翠里",1642,3940,1868,2072
"65000","新北市","65000010","板橋區","65000010-033","宏翠里",2127,5083,2468,2615
"65000","新北市","65000010","板橋區","65000010-034","仁翠里",1097,3191,1555,1636
"65000","新北市","65000010","板橋區","65000010-035","新翠里",3050,8417,4045,4372
"65000","新北市","65000010","板橋區","65000010-036","吉翠里",1360,3976,1983,1993
"65000","新北市","65000010","板橋區","65000010-037","德翠里",2622,7622,3759,3863
"65000","新北市","65000010","板橋區","65000010-038","滿翠里",1113,3256,1594,1662
"65000","新北市","65000010","板橋區","65000010-039","明翠里",1952,5270,2578,2692
"65000","新北市","65000010","板橋區","65000010-040","松翠里",1409,3742,1831,1911
"65000","新北市","65000010","板橋區","65000010-041","柏翠里",1659,4188,2036,2152
"65000","新北市","65000010","板橋區","65000010-042","龍翠里",1976,5359,2599,2760
"65000","新北市","65000010","板橋區","65000010-043","華翠里",1365,3935,1913,2022
"65000","新北市","65000010","板橋區","65000010-044","忠翠里",4181,10720,5105,5615
"65000","新北市","65000010","板橋區","65000010-045","嵐翠里",968,2713,1372,1341
"65000","新北市","65000010","板橋區","65000010-046","文翠里",1591,4263,2101,2162
"65000","新北市","65000010","板橋區","65000010-047","青翠里",1164,3207,1666,1541
"65000","新北市","65000010","板橋區","65000010-048","懷翠里",2217,6497,3214,3283
"65000","新北市","65000010","板橋區","65000010-049","福翠里",569,1515,784,731
"65000","新北市","65000010","板橋區","65000010-050","港嘴里",2419,6615,3329,3286
"65000","新北市","65000010","板橋區","65000010-051","振興里",1639,4665,2340,2325
"65000","新北市","65000010","板橋區","65000010-052","振義里",1613,4437,2231,2206
"65000","新北市","65000010","板橋區","65000010-053","光復里",1246,3339,1695,1644
"65000","新北市","65000010","板橋區","65000010-054","埔墘里",2546,6594,3178,3416
"65000","新北市","65000010","板橋區","65000010-055","長壽里",978,2950,1468,1482
"65000","新北市","65000010","板橋區","65000010-056","福壽里",1246,3502,1769,1733
"65000","新北市","65000010","板橋區","65000010-057","海山里",2888,8991,4266,4725
"65000","新北市","65000010","板橋區","65000010-058","九如里",1078,3193,1556,1637
"65000","新北市","65000010","板橋區","65000010-059","玉光里",2132,5864,2761,3103
"65000","新北市","65000010","板橋區","65000010-060","光仁里",1041,3266,1613,1653
"65000","新北市","65000010","板橋區","65000010-061","埤墘里",1643,4513,2172,2341
"65000","新北市","65000010","板橋區","65000010-062","永安里",1386,3718,1840,1878
"65000","新北市","65000010","板橋區","65000010-063","雙玉里",1523,4323,2101,2222
"65000","新北市","65000010","板橋區","65000010-064","廣新里",1259,3822,1898,1924
"65000","新北市","65000010","板橋區","65000010-065","深丘里",3491,8845,4228,4617
"65000","新北市","65000010","板橋區","65000010-066","香丘里",1487,4268,2065,2203
"65000","新北市","65000010","板橋區","65000010-067","西安里",1079,3008,1489,1519
"65000","新北市","65000010","板橋區","65000010-068","東丘里",1687,5072,2490,2582
"65000","新北市","65000010","板橋區","65000010-069","長安里",1706,5018,2465,2553
"65000","新北市","65000010","板橋區","65000010-070","福丘里",1983,4459,2068,2391
"65000","新北市","65000010","板橋區","65000010-071","福祿里",1592,4326,2047,2279
"65000","新北市","65000010","板橋區","65000010-072","民族里",1559,4778,2322,2456
"65000","新北市","65000010","板橋區","65000010-073","國泰里",1449,3882,1852,2030
"65000","新北市","65000010","板橋區","65000010-074","福德里",1939,5505,2758,2747
"65000","新北市","65000010","板橋區","65000010-075","景星里",1432,3573,1721,1852
"65000","新北市","65000010","板橋區","65000010-076","福星里",1305,3755,1799,1956
"65000","新北市","65000010","板橋區","65000010-077","鄉雲里",1488,3743,1794,1949
"65000","新北市","65000010","板橋區","65000010-078","廣德里",2453,6985,3445,3540
"65000","新北市","65000010","板橋區","65000010-079","大豐里",1791,5042,2459,2583
"65000","新北市","65000010","板橋區","65000010-080","重慶里",3296,9459,4609,4850
"65000","新北市","65000010","板橋區","65000010-081","仁愛里",1164,3389,1698,1691
"65000","新北市","65000010","板橋區","65000010-082","和平里",1538,3750,1800,1950
"65000","新北市","65000010","板橋區","65000010-083","廣福里",1593,4502,2229,2273
"65000","新北市","65000010","板橋區","65000010-084","華興里",1572,4345,2122,2223
"65000","新北市","65000010","板橋區","65000010-085","華貴里",1004,2938,1413,1525
"65000","新北市","65000010","板橋區","65000010-086","華德里",2867,7406,3616,3790
"65000","新北市","65000010","板橋區","65000010-087","華東里",2785,6912,3382,3530
"65000","新北市","65000010","板橋區","65000010-088","信義里",1670,4518,2244,2274
"65000","新北市","65000010","板橋區","65000010-089","浮洲里",1432,4364,2289,2075
"65000","新北市","65000010","板橋區","65000010-090","華中里",1889,5677,2857,2820
"65000","新北市","65000010","板橋區","65000010-091","僑中里",1379,4320,2172,2148
"65000","新北市","65000010","板橋區","65000010-092","中山里",1470,3910,1992,1918
"65000","新北市","65000010","板橋區","65000010-093","復興里",354,1420,934,486
"65000","新北市","65000010","板橋區","65000010-094","大安里",1554,4476,2245,2231
"65000","新北市","65000010","板橋區","65000010-095","福安里",1018,2783,1398,1385
"65000","新北市","65000010","板橋區","65000010-096","聚安里",1987,5762,2947,2815
"65000","新北市","65000010","板橋區","65000010-097","龍安里",1098,3082,1520,1562
"65000","新北市","65000010","板橋區","65000010-098","崑崙里",3677,10498,5191,5307
"65000","新北市","65000010","板橋區","65000010-099","溪洲里",2184,6474,3146,3328
"65000","新北市","65000010","板橋區","65000010-100","溪北里",1308,3783,1872,1911
"65000","新北市","65000010","板橋區","65000010-101","香雅里",978,2758,1365,1393
"65000","新北市","65000010","板橋區","65000010-102","新生里",1509,4463,2265,2198
"65000","新北市","65000010","板橋區","65000010-103","文德里",1180,3309,1653,1656
"65000","新北市","65000010","板橋區","65000010-104","文化里",1245,3356,1657,1699
"65000","新北市","65000010","板橋區","65000010-105","新海里",1246,3920,1970,1950
"65000","新北市","65000010","板橋區","65000010-106","莒光里",1172,3181,1562,1619
"65000","新北市","65000010","板橋區","65000010-107","富貴里",842,2368,1153,1215
"65000","新北市","65000010","板橋區","65000010-108","正泰里",1088,3285,1573,1712
"65000","新北市","65000010","板橋區","65000010-109","民生里",905,2414,1149,1265
"65000","新北市","65000010","板橋區","65000010-110","後埔里",1571,4002,1996,2006
"65000","新北市","65000010","板橋區","65000010-111","華福里",769,2307,1115,1192
"65000","新北市","65000010","板橋區","65000010-112","堂春里",1484,4675,2332,2343
"65000","新北市","65000010","板橋區","65000010-113","成和里",2213,6373,3200,3173
"65000","新北市","65000010","板橋區","65000010-114","光榮里",985,2740,1337,1403
"65000","新北市","65000010","板橋區","65000010-115","民安里",838,2223,1067,1156
"65000","新北市","65000010","板橋區","65000010-116","陽明里",1053,3090,1531,1559
"65000","新北市","65000010","板橋區","65000010-117","朝陽里",1256,3639,1763,1876
"65000","新北市","65000010","板橋區","65000010-118","松柏里",873,2360,1176,1184
"65000","新北市","65000010","板橋區","65000010-119","文聖里",1425,4139,2040,2099
"65000","新北市","65000010","板橋區","65000010-120","居仁里",1062,3281,1611,1670
"65000","新北市","65000010","板橋區","65000010-121","莊敬里",1615,4478,2167,2311
"65000","新北市","65000010","板橋區","65000010-122","東安里",951,2925,1398,1527
