COUNTY_ID,COUNTY_ID_NM,TOWN_ID,TOWN_ID_NM,V_ID,V_ID_NM,fld0101,fld0201,fld0301,fld0401
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數
"10002","宜蘭縣","10002100","三星鄉","10002100-005","人和村",190,542,280,262
"10002","宜蘭縣","10002100","三星鄉","10002100-017","大洲村",620,1762,966,796
"10002","宜蘭縣","10002100","三星鄉","10002100-015","大義村",540,1315,715,600
"10002","宜蘭縣","10002100","三星鄉","10002100-010","大隱村",1616,4328,2311,2017
"10002","宜蘭縣","10002100","三星鄉","10002100-002","天山村",243,642,346,296
"10002","宜蘭縣","10002100","三星鄉","10002100-003","天福村",296,858,480,378
"10002","宜蘭縣","10002100","三星鄉","10002100-008","月眉村",370,1072,586,486
"10002","宜蘭縣","10002100","三星鄉","10002100-011","行健村",336,900,479,421
"10002","宜蘭縣","10002100","三星鄉","10002100-018","尾塹村",516,1574,871,703
"10002","宜蘭縣","10002100","三星鄉","10002100-016","尚武村",348,867,476,391
"10002","宜蘭縣","10002100","三星鄉","10002100-009","拱照村",679,1480,862,618
"10002","宜蘭縣","10002100","三星鄉","10002100-001","員山村",100,239,130,109
"10002","宜蘭縣","10002100","三星鄉","10002100-013","貴林村",213,570,295,275
"10002","宜蘭縣","10002100","三星鄉","10002100-007","集慶村",472,1399,711,688
"10002","宜蘭縣","10002100","三星鄉","10002100-014","萬富村",329,826,465,361
"10002","宜蘭縣","10002100","三星鄉","10002100-012","萬德村",251,674,372,302
"10002","宜蘭縣","10002100","三星鄉","10002100-006","義德村",528,1394,750,644
"10002","宜蘭縣","10002100","三星鄉","10002100-004","雙賢村",258,704,394,310
"10002","宜蘭縣","10002110","大同鄉","10002110-007","太平村",28,81,53,28
"10002","宜蘭縣","10002110","大同鄉","10002110-008","四季村",299,993,524,469
"10002","宜蘭縣","10002110","大同鄉","10002110-003","松羅村",238,825,453,372
"10002","宜蘭縣","10002110","大同鄉","10002110-009","南山村",247,838,451,387
"10002","宜蘭縣","10002110","大同鄉","10002110-010","茂安村",74,213,123,90
"10002","宜蘭縣","10002110","大同鄉","10002110-005","英士村",151,421,236,185
"10002","宜蘭縣","10002110","大同鄉","10002110-002","崙埤村",222,716,385,331
"10002","宜蘭縣","10002110","大同鄉","10002110-001","寒溪村",341,1076,573,503
"10002","宜蘭縣","10002110","大同鄉","10002110-004","復興村",112,335,184,151
"10002","宜蘭縣","10002110","大同鄉","10002110-006","樂水村",153,471,271,200
"10002","宜蘭縣","10002090","五結鄉","10002090-002","二結村",700,2013,1014,999
