縣市,鄉鎮,村里,開票所數,蔡蘇得票,馬吳得票,宋林得票,無效票,選舉人數,藍綠比例
臺南市,柳營區,光福里,2,839,465,55,21,5646,-0.28680981595092
臺南市,柳營區,篤農里,2,691,278,13,30,4071,-0.42621259029928
臺南市,柳營區,大農里,1,323,159,11,12,2016,-0.3402489626556
臺南市,柳營區,東昇里,2,1166,618,51,36,7674,-0.30717488789238
臺南市,柳營區,太康里,2,710,374,30,39,4485,-0.309963099631
臺南市,柳營區,中埕里,1,337,189,13,9,2202,-0.28136882129278
臺南市,柳營區,人和里,2,348,228,14,30,2412,-0.20833333333333
臺南市,柳營區,重溪里,3,842,398,34,39,5253,-0.35806451612903
臺南市,柳營區,旭山里,3,676,380,29,24,4944,-0.28030303030303
臺南市,柳營區,士林里,2,713,393,35,21,4680,-0.28933092224231
臺南市,柳營區,果毅里,2,641,223,21,27,3651,-0.4837962962963
臺南市,後壁區,頂安里,1,515,395,26,21,3786,-0.13186813186813
臺南市,後壁區,嘉苳里,2,555,292,26,24,3765,-0.31050767414404
臺南市,後壁區,烏樹里,1,349,127,14,12,2253,-0.46638655462185
臺南市,後壁區,菁豊里,1,364,202,6,12,2400,-0.28621908127208
臺南市,後壁區,墨林里,1,355,178,2,9,2211,-0.33208255159475
臺南市,後壁區,頂長里,1,307,96,5,9,1611,-0.52357320099256
臺南市,後壁區,平安里,1,467,228,8,21,2970,-0.34388489208633
臺南市,後壁區,仕安里,1,283,96,17,12,1653,-0.4934036939314
臺南市,後壁區,嘉田里,1,575,195,21,42,3498,-0.49350649350649
臺南市,後壁區,長安里,2,533,337,16,27,3738,-0.22528735632184
臺南市,後壁區,後里,1,214,95,12,39,1473,-0.38511326860841
臺南市,後壁區,嘉民里,1,596,240,18,24,3633,-0.42583732057416
臺南市,後壁區,菁寮里,1,173,119,3,0,1182,-0.18493150684932
臺南市,後壁區,崁頂里,1,233,97,7,24,1389,-0.41212121212121
臺南市,後壁區,新嘉里,2,562,175,12,33,3183,-0.52510176390773
臺南市,後壁區,新東里,2,800,331,22,18,4788,-0.41467727674624
臺南市,後壁區,侯伯里,2,672,269,17,27,4014,-0.42826780021254
臺南市,後壁區,土溝里,2,659,297,18,36,4026,-0.37866108786611
臺南市,後壁區,竹新里,2,843,242,20,27,4347,-0.55391705069124
臺南市,後壁區,福安里,1,522,313,17,12,3564,-0.2502994011976
臺南市,左鎮區,內庄里,1,147,144,8,12,1308,-0.010309278350515
臺南市,左鎮區,左鎮里,1,206,117,5,27,1473,-0.27554179566563
臺南市,左鎮區,睦光里,1,146,93,4,9,1074,-0.22175732217573
臺南市,左鎮區,澄山里,1,277,86,3,9,1620,-0.52617079889807
臺南市,左鎮區,草山里,1,124,59,15,6,969,-0.3551912568306
臺南市,左鎮區,岡林里,1,187,91,7,9,1341,-0.34532374100719
